pais_codigo,pais,ano,pib,crescimento,pib_per_capita,pib_anterior,variacao_pib,log_pib
FRA,France,2016,2470407619777.13,0.860031075424033,37024.2157133669,2442483452642.5,0.011432694499698304,28.53540428120262
FRA,France,2017,2588868323334.71,2.08361485997399,38687.1626407164,2470407619777.13,0.047951885595409305,28.58224195535614
FRA,France,2018,2781576320884.39,1.64590872395887,41418.1766484844,2588868323334.71,0.0744371568892519,28.65403890483578
FRA,France,2019,2722793515171.76,2.02744646419237,40408.2848574751,2781576320884.39,-0.021132911317687908,28.632679496841067
FRA,France,2020,2647926055110.05,-7.44064589948231,39169.8606000707,2722793515171.76,-0.02749656176443005,28.60479782880602
FRA,France,2021,2966433692008.09,6.88233783360239,43725.0999521245,2647926055110.05,0.12028569917327347,28.71838157013104
FRA,France,2022,2794788137066.94,2.71676264185913,40988.6396406579,2966433692008.09,-0.05786259622238732,28.65877741897098
FRA,France,2023,3056250648138.29,1.43921494437743,44700.1384177544,2794788137066.94,0.09355360701714877,28.748210002239357
FRA,France,2024,3160442622465.08,1.19046798275883,46103.0840855884,3056250648138.29,0.03409143631274425,28.78173320411877
FRA,France,2025,3366315927447.33,0.840949955479587,48985.7307807924,3160442622465.08,0.06514065577994033,28.844840065714404
DEU,Germany,1976,521658712132.981,4.94925843456397,6659.16546576017,,,26.980279402828913
DEU,Germany,1977,602698323085.993,3.34721808033223,7711.10232025365,521658712132.981,0.1553498658570347,27.124682615095374
DEU,Germany,1978,743182891918.208,3.00849288842491,9516.78283228907,602698323085.993,0.2330926824433368,27.334208004695363
DEU,Germany,1979,884574218333.155,4.15036333786591,11322.3543443813,743182891918.208,0.19025105119145835,27.50837225695609
DEU,Germany,1980,953772499462.019,1.40882864441943,12182.7800196802,884574218333.155,0.0782277842771153,27.583691009790567
DEU,Germany,1981,803404797057.551,0.529240541969116,10246.4767623188,953772499462.019,-0.15765573288104218,27.412124529799186
DEU,Germany,1982,779421633755.138,-0.394840735634787,9950.05926025365,803404797057.551,-0.029851904532124718,27.3818179864008
DEU,Germany,1983,773507930294.906,1.57241014192158,9900.48559233526,779421633755.138,-0.007587297047094488,27.374201759389077
DEU,Germany,1984,727767760978.627,2.82294783585535,9347.29068412377,773507930294.906,-0.0591334200010597,27.313247824603952
DEU,Germany,1985,735218723093.277,2.32793520067574,9464.11694710857,727767760978.627,0.010238104123533542,27.32343387433021
DEU,Germany,1986,1050092624515.9,2.28733925852798,13511.1520027486,735218723093.277,0.42827241952960304,27.679899490032035
DEU,Germany,1987,1302932318824.81,1.4021515883601,16738.6132825523,1050092624515.9,0.24077846887599175,27.895638470147222
DEU,Germany,1988,1406367016371.53,3.70723567991882,17996.9783507619,1302932318824.81,0.079386086331801,27.972030911079223
DEU,Germany,1989,1404092925205.45,3.89655170553733,17829.4609524705,1406367016371.53,-0.0016169969429085107,27.970412605385736
DEU,Germany,1990,1778162195860.07,5.25500610110028,22385.6778250275,1404092925205.45,0.2664134716011659,28.206601472627945
DEU,Germany,1991,1875792575132.59,5.10826150190911,23443.3350818536,1778162195860.07,0.05490521590202735,28.26005239277298
DEU,Germany,1992,2141377582968.07,2.01361340926105,26559.8543879632,1875792575132.59,0.14158548837240548,28.392470468215706
DEU,Germany,1993,2078954217437.6,-0.973033082340891,25616.6508772405,2141377582968.07,-0.02915103157283816,28.362886103127412
DEU,Germany,1994,2215282632276.73,2.59685569693275,27201.9593555204,2078954217437.6,0.06557547717773238,28.42640111050756
DEU,Germany,1995,2593053091306.13,1.50499384201356,31747.2449398447,2215282632276.73,0.1705292379063843,28.58385709713321
DEU,Germany,1996,2506576553158.31,1.0378755674358,30599.7891048363,2593053091306.13,-0.033349312606731574,28.549939015038078
DEU,Germany,1997,2218790886532.82,1.85432238398302,27046.9565464237,2506576553158.31,-0.11481223913264393,28.427983517733452
DEU,Germany,1998,2247760364565.97,2.09561231172233,27395.9440608051,2218790886532.82,0.013056425555460605,28.44095544288551
DEU,Germany,1999,2213873468586.88,2.12957016297766,26965.4922773722,2247760364565.97,-0.015075849059930202,28.425764797988737
DEU,Germany,2000,1966980701145.1,2.8765231247659,23925.8559901991,2213873468586.88,-0.11152072191342166,28.307520843973204
DEU,Germany,2001,1966381496641.73,1.63614170690956,23878.3641471651,1966980701145.1,-0.00030463161281724105,28.307216165950752
DEU,Germany,2002,2102350798305.89,-0.228255715793637,25486.5942008748,1966381496641.73,0.06914695947677196,28.374077262330573
DEU,Germany,2003,2534715518349.01,-0.529801394291297,30711.1022511331,2102350798305.89,0.20565774293782302,28.561102525115807
DEU,Germany,2004,2852317768061.78,1.16208684507278,34566.7359143735,2534715518349.01,0.12530094498322275,28.679153031650422
DEU,Germany,2005,2893393187361.87,0.885485292551564,35084.4363546269,2852317768061.78,0.014400716413866421,28.693451042594948
DEU,Germany,2006,3046308753670.58,3.86668241523209,36980.3349948954,2893393187361.87,0.05284990888090624,28.744951728912167
DEU,Germany,2007,3484056680854.91,2.8891174138025,42350.9217211489,3046308753670.58,0.1436978200771264,28.879218443688565
DEU,Germany,2008,3808197720125.0,0.887902330743628,46379.1647953479,3484056680854.91,0.09303552409214899,28.968177153811485
DEU,Germany,2009,3478545516683.59,-5.54455451920674,42471.8868625226,3808197720125.0,-0.0865638361420451,28.877635367371425
DEU,Germany,2010,3467093769666.67,4.13463778522758,42396.9665976293,3478545516683.59,-0.0032921078542729187,28.874337828607388
DEU,Germany,2011,3823575803793.78,3.75796884489337,47630.9761883572,3467093769666.67,0.10281868844908182,28.972207174994274
DEU,Germany,2012,3596483233406.25,0.463512036709204,44718.0159214069,3823575803793.78,-0.05939272085627456,28.91097760432338
DEU,Germany,2013,3807023797050.99,0.396995583779145,47206.8353514242,3596483233406.25,0.05854067709509003,28.967868844176458
DEU,Germany,2014,3964870735760.77,2.18018602168017,48959.5991203133,3807023797050.99,0.041462031004915634,29.008494369162555
DEU,Germany,2015,3425099578746.09,1.66300602334775,41929.7549110722,3964870735760.77,-0.1361383997077802,28.862151661306545
DEU,Germany,2016,3536787895179.0,2.22222216259371,42948.9381932694,3425099578746.09,0.03260877935519724,28.89424005691781
DEU,Germany,2017,3765351626105.89,2.797906720551,45553.9341495339,3536787895179.0,0.06462466444155313,28.95686236620753
DEU,Germany,2018,4055433215301.96,1.13569604599849,48916.1686612154,3765351626105.89,0.07703970784159431,29.03107863263584
DEU,Germany,2019,3959894794039.21,0.977734697038784,47656.199739747,4055433215301.96,-0.023558129598155952,29.00723857368021
DEU,Germany,2020,3941398957073.94,-4.13191443239947,47394.8734504469,3959894794039.21,-0.004670789989954183,29.002556841464838
DEU,Germany,2021,4355251953410.78,3.90999994204108,52349.2459994422,3941398957073.94,0.10500154915656656,29.102403578385214
DEU,Germany,2022,4201021706478.62,1.8092581243061,50506.5179638543,4355251953410.78,-0.035412474084622225,29.066348875081406
DEU,Germany,2023,4562207532490.28,-0.869647578573321,54776.7668235491,4201021706478.62,0.08597571049315356,29.148827730314622
DEU,Germany,2024,4685592577804.69,-0.495851897260366,56103.7323182554,4562207532490.28,0.027045031256405894,29.175513507676996
DEU,Germany,2025,5050922925047.05,0.239578342117881,60496.4350820414,4685592577804.69,0.07796886758206467,29.25059209995277
IND,India,1976,102716451979.68,1.66310363661279,164.119999587322,,,25.355238135595258
IND,India,1977,121486641441.309,7.25476458583569,189.585568552477,102716451979.68,0.1827379071206845,25.52307014669729
IND,India,1978,137302319828.995,5.71253208900188,209.389063573463,121486641441.309,0.13018450588517294,25.645451045637287
IND,India,1979,152995442497.709,-5.2381827027895,227.958179873426,137302319828.995,0.11429612178628323,25.753673970298514
IND,India,1980,186328579302.068,6.7358215279985,271.080945953678,152995442497.709,0.21787012907170822,25.950777507523316
IND,India,1981,193491368445.573,6.00620362381767,274.964330768528,186328579302.068,0.038441709641831245,25.988498740904884
IND,India,1982,200715624830.902,3.47573324031237,278.65038258267,193491368445.573,0.03733632380279084,26.02515494139207
IND,India,1983,218262146413.158,7.28889290124586,295.999773299382,200715624830.902,0.08741980898118173,26.10896268378605
IND,India,1984,212157645177.652,3.8207378559735,281.049867840717,218262146413.158,-0.02796866674237919,26.080595444606537
IND,India,1985,232511554840.372,5.25429922330889,300.928258576378,212157645177.652,0.09593766769835921,26.172205758977064
IND,India,1986,248985994040.59,4.77656417048946,314.897116402542,232511554840.372,0.07085428167872476,26.24066248299612
IND,India,1987,279033584092.223,3.96535563390576,344.941028293075,248985994040.59,0.12067984051638914,26.35459798461392
IND,India,1988,296589670895.932,9.62778291984834,358.484539641693,279033584092.223,0.0629174687370484,26.415615441013266
IND,India,1989,296042052944.66,5.94734332826503,349.915155021864,296589670895.932,-0.0018463824098047255,26.413767351938365
IND,India,1990,320979026420.035,5.53345456306495,371.085936203765,296042052944.66,0.08423456474285618,26.494641619686448
IND,India,1991,270105341879.226,1.05683143296179,305.574055928592,320979026420.035,-0.1584953543794334,26.322077874962318
IND,India,1992,288208070278.013,5.48239602167003,319.182472626315,270105341879.226,0.06702099363470349,26.386948522472352
IND,India,1993,279295648982.529,4.7507762195799,302.884806246174,288208070278.013,-0.030923566043403516,26.355536731482353
IND,India,1994,327274843459.429,6.65892406747307,347.73421473994,279295648982.529,0.17178640144122448,26.51406615469737
IND,India,1995,360281909643.489,7.57449184027195,375.17600537305,327274843459.429,0.10085427231485866,26.610152644290586
IND,India,1996,392896866204.516,7.54952224888829,401.046754673579,360281909643.489,0.09052621208014733,26.69681298741517
IND,India,1997,415867563592.829,4.04982084902483,416.228116203753,392896866204.516,0.05846495445539124,26.7536326897734
IND,India,1998,421351317224.941,6.18441582080355,413.630864056851,415867563592.829,0.013186298024149501,26.766732805361244
IND,India,1999,458821052615.79,8.84575556114116,441.927991436397,421351317224.941,0.08892753827762578,26.851926107408236
IND,India,2000,468395521654.458,3.84099115686554,442.750218937263,458821052615.79,0.020867545166210144,26.872578907681607
IND,India,2001,485440139204.171,4.82396626397303,450.357900514128,468395521654.458,0.03638936915858704,26.908321819865293
IND,India,2002,514939140318.756,3.80397532120038,469.149928973927,485440139204.171,0.060767535958080376,26.967314556488695
IND,India,2003,607700687237.318,7.86038147545045,544.143133545002,514939140318.756,0.1801407965631454,27.13294830696962
IND,India,2004,709152728830.775,7.92293661307978,624.258826510066,607700687237.318,0.16694409554590184,27.287336754710047
IND,India,2005,820383763511.445,7.92343062131789,710.488080408949,709152728830.775,0.15685060517790506,27.43303807200711
IND,India,2006,940259888787.721,8.06073257305057,801.668353659022,820383763511.445,0.1461220109515291,27.569422151431365
IND,India,2007,1216736438834.96,7.66081506510766,1021.88707706826,940259888787.721,0.2940426932427169,27.8271933401982
IND,India,2008,1198895139005.92,3.08669805950082,992.519584923828,1216736438834.96,-0.014663241158556328,27.812421531106732
IND,India,2009,1341888016994.9,7.8618888330338,1094.94974598436,1198895139005.92,0.11927054613595689,27.9250987061341
IND,India,2010,1675615519484.96,8.49758470165625,1347.51939071367,1341888016994.9,0.2486999647239032,28.147201688022804
IND,India,2011,1823051829894.55,5.24131620024293,1445.46127486037,1675615519484.96,0.08798934403216085,28.231533042320507
IND,India,2012,1827637590410.41,5.45638755164772,1429.32199520032,1823051829894.55,0.002515430686425013,28.234045314606547
IND,India,2013,1856721507621.58,6.38610640091713,1432.84397512195,1827637590410.41,0.015913394079752452,28.249833418082037
IND,India,2014,2039126479154.52,7.41022760516977,1553.88396075118,1856721507621.58,0.09824035041560797,28.343542635589493
IND,India,2015,2103588360044.94,7.99625378567987,1583.99815907985,2039126479154.52,0.03161249758138962,28.37466574529629
